ID_SEGMENTO;ESTADO;LONGITUD;ORDEN;INDICE_CONDICION
1;4;982.11;3;70.48
1;1;515.76;4;74.32
1;1;549.31;2;67.13
1;3;262.77;2;89.17
2;3;167.53;2;95.47
3;4;315.04;4;47.56
4;2;339.58;2;39.04
4;2;76.79;2;46.18
5;1;210.78;1;29.97
5;4;49.23;1;63.08
6;3;184.26;2;7.99
6;4;631.21;1;7.64
7;4;451.69;2;36.25
8;3;866.93;1;26.57
8;1;719.97;1;67.05
8;2;819.36;2;49.99
9;4;922.00;4;91.65
9;3;273.80;2;90.46
9;2;343.15;1;43.08
10;2;614.78;2;98.97
11;2;178.15;1;40.92
12;4;121.70;2;1.96
13;4;283.37;4;87.05
14;3;279.71;4;91.58
15;4;73.56;2;48.89
15;1;607.82;4;55.58
15;1;844.42;1;40.20
16;2;818.04;3;54.50
16;2;748.74;3;98.60
17;2;804.54;4;69.07
18;2;305.01;2;61.11
19;3;545.33;2;41.96
20;3;526.08;3;7.92
20;3;286.15;1;17.63
21;4;354.74;1;75.80
21;1;82.48;1;4.37
22;1;834.61;3;39.52
22;3;855.89;4;70.45
23;1;562.33;4;83.62
23;3;275.27;2;60.33
24;3;94.15;1;31.11
24;3;537.66;1;95.05
25;3;197.99;3;78.59
25;3;564.73;2;17.98
25;2;504.99;2;35.52
25;3;680.52;3;15.23
26;3;309.95;2;22.82
26;2;495.14;1;65.45
26;3;158.68;3;93.51
27;4;650.96;4;45.49
28;3;994.48;2;64.17
29;2;646.44;4;94.86
30;3;911.71;3;70.42
31;3;857.30;2;40.15
32;4;228.13;2;6.21
33;2;284.73;1;67.20
34;3;852.05;4;41.27
35;4;240.12;3;31.08
36;4;172.40;4;68.50
36;2;262.23;1;68.57
37;3;865.39;1;20.55
37;4;916.07;4;93.39
38;3;359.54;4;42.00
39;3;205.00;3;46.53
40;1;868.67;1;51.36
41;3;694.60;2;52.38
41;2;820.59;4;50.87
42;3;9.61;2;52.67
42;2;907.54;2;41.50
43;1;277.34;2;25.98
43;2;43.10;2;33.28
44;4;219.44;4;56.92
44;2;699.61;2;62.88
45;2;407.67;4;83.78
45;4;465.43;1;50.03
46;3;445.68;1;20.67
47;2;507.60;2;86.10
48;2;268.08;3;67.33
49;2;573.34;2;98.25
50;4;397.72;3;72.18
50;2;910.21;2;37.20
