ID;LONGITUD;TIPO_VIA;ESTRATO
1;200.00;Autopista;3
2;200.00;Autopista;4
3;211.34;Autopista;4
4;214.83;Autopista;4
5;158.25;Autopista;4
6;84.32;Calle;3
7;152.62;Calle;2
8;118.91;Calle;4
9;163.49;Calle;3
10;194.98;Calle;6
11;191.24;Carrera;5
12;27.09;Carrera;4
13;97.82;Carrera;4
14;235.52;Avenida;4
15;188.68;Calle;4
16;134.65;Carrera;5
17;174.99;Carrera;4
18;35.60;Diagonal;2
19;49.30;Carrera;5
20;135.58;Calle;4
21;141.57;Autopista;5
22;177.28;Autopista;2
23;195.86;Autopista;3
24;30.40;Autopista;6
25;131.39;Autopista;4
26;121.98;Calle;3
27;32.64;Calle;4
28;172.60;Calle;4
29;104.13;Calle;4
30;213.36;Calle;3
31;56.81;Carrera;4
32;245.16;Carrera;4
33;8.84;Carrera;3
34;218.33;Avenida;6
35;67.50;Calle;4
36;49.60;Carrera;5
37;228.01;Carrera;5
38;88.93;Diagonal;2
39;158.98;Carrera;6
40;180.81;Calle;6
41;62.13;Autopista;6
42;164.47;Autopista;6
43;176.39;Autopista;5
44;185.63;Autopista;5
45;45.73;Autopista;2
46;133.83;Calle;4
47;207.72;Calle;6
48;94.89;Calle;2
49;16.22;Calle;2
50;201.49;Calle;2
